subject,field,value,source,observed,confidence,note
spuistraat-19,coordinate,"52.377,4.8935",photos-2009,2009-10-06,0.9,"own GPS, DOP 3.0, camera bearing 142.9 deg true"
spuistraat-19,photo_heading,142.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
amstelstraat-45,name,Arabica Lounge,placesdata-2011,2011-07-18,0.7,
amstelstraat-45,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
amstelstraat-45,phone,+31 20 772 6479,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
amstelstraat-45,coordinate,"52.366332,4.899884",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
amstelstraat-45,key_photo,PicturesOriginal/IMG_0049.JPG,photos-2009,2009-10-04,1.0,Apple iPhone 3GS
amstelstraat-45,trading,true,photos-2009,2009-10-04,1.0,"photographed open; presence attested, not a claim about today"
amstelstraat-45,coordinate,"52.365,4.8993333",photos-2009,2009-10-04,0.9,"own GPS, DOP 5.0, camera bearing 293.9 deg true"
amstelstraat-45,photo_heading,293.9,photos-2009,2009-10-04,1.0,the shopfront lies along this bearing from the fix
daniel-stalpertstraat-78,name,Atlantis,placesdata-2011,2011-07-18,0.7,
daniel-stalpertstraat-78,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
daniel-stalpertstraat-78,phone,+31 20 673 2353,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
daniel-stalpertstraat-78,coordinate,"52.356035,4.890935",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
daniel-stalpertstraat-78,key_photo,PicturesOriginal/IMG_0585.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS
daniel-stalpertstraat-78,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today"
daniel-stalpertstraat-78,coordinate,"52.3561667,4.8911667",photos-2009,2009-10-13,0.9,"own GPS, DOP 3.0, camera bearing 271.9 deg true"
daniel-stalpertstraat-78,photo_heading,271.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix
parlevinker-8,name,Atlas,placesdata-2011,2011-07-18,0.7,
parlevinker-8,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
parlevinker-8,phone,+31 20 631 5100,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
parlevinker-8,coordinate,"52.411627,4.922248",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
parlevinker-8,key_photo,PicturesOriginal/IMG_1283.JPG,photos-2009,2009-10-18,1.0,Apple iPhone 3GS
parlevinker-8,trading,true,photos-2009,2009-10-18,1.0,"photographed open; presence attested, not a claim about today"
parlevinker-8,coordinate,"52.4115,4.9221667",photos-2009,2009-10-18,0.9,"own GPS, DOP 1.0, camera bearing 255.9 deg true"
parlevinker-8,photo_heading,255.9,photos-2009,2009-10-18,1.0,the shopfront lies along this bearing from the fix
warmoesstraat-64,name,Baba,placesdata-2011,2011-07-18,0.7,
warmoesstraat-64,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
warmoesstraat-64,phone,+31 20 624 1409,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
warmoesstraat-64,website,http://www.babashops.nl,placesdata-2011,2011-07-18,0.4,
warmoesstraat-64,coordinate,"52.375156,4.897733",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
warmoesstraat-64,key_photo,PicturesOriginal/IMG_0014.JPG,photos-2009,2009-10-04,1.0,Apple iPhone 3GS
warmoesstraat-64,trading,true,photos-2009,2009-10-04,1.0,"photographed open; presence attested, not a claim about today"
warmoesstraat-64,coordinate,"52.3751667,4.8978333",photos-2009,2009-10-04,0.9,"own GPS, DOP 3.0, camera bearing 344.9 deg true"
warmoesstraat-64,photo_heading,344.9,photos-2009,2009-10-04,1.0,the shopfront lies along this bearing from the fix
beursstraat-27,name,Babylon,placesdata-2011,2011-07-18,0.7,
beursstraat-27,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
beursstraat-27,phone,+31 20 427 0609,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
beursstraat-27,coordinate,"52.374722,4.89665",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
beursstraat-27,key_photo,PicturesOriginal/IMG_1264.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS
beursstraat-27,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today"
beursstraat-27,coordinate,"52.3748333,4.8963333",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 199.9 deg true"
beursstraat-27,photo_heading,199.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix
kloveniersburgwal-60,name,Bagheera,placesdata-2011,2011-07-18,0.7,
kloveniersburgwal-60,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
kloveniersburgwal-60,phone,+31 20 627 0384,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
kloveniersburgwal-60,coordinate,"52.370034,4.897392",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
kloveniersburgwal-60,key_photo,PicturesOriginal/IMG_1039.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS
kloveniersburgwal-60,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today"
kloveniersburgwal-60,coordinate,"52.37,4.8976667",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 298.9 deg true"
kloveniersburgwal-60,photo_heading,298.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix
roetersstraat-12,name,Het Ballonnetje,placesdata-2011,2011-07-18,0.7,
roetersstraat-12,sort_name,Ballonnetje,placesdata-2011,2011-07-18,0.7,
roetersstraat-12,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
roetersstraat-12,phone,+31 20 622 8027,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
roetersstraat-12,coordinate,"52.363517,4.910508",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
roetersstraat-12,key_photo,PicturesOriginal/IMG_0470.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS
roetersstraat-12,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today"
roetersstraat-12,coordinate,"52.363,4.9106667",photos-2009,2009-10-13,0.9,"own GPS, DOP 3.0, camera bearing 137.9 deg true"
roetersstraat-12,photo_heading,137.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix
halvemaansteeg-5,name,Balou,placesdata-2011,2011-07-18,0.7,
halvemaansteeg-5,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
halvemaansteeg-5,phone,+31 20 627 5653,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
halvemaansteeg-5,coordinate,"52.366803,4.89601",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
halvemaansteeg-5,key_photo,PicturesOriginal/IMG_0136.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
halvemaansteeg-5,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
halvemaansteeg-5,coordinate,"52.367,4.8958333",photos-2009,2009-10-06,0.6,"own GPS, camera bearing 35.9 deg true"
halvemaansteeg-5,photo_heading,35.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
barentszstraat-130,name,De Barentsz,placesdata-2011,2011-07-18,0.7,
barentszstraat-130,sort_name,Barentsz,placesdata-2011,2011-07-18,0.7,
barentszstraat-130,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
barentszstraat-130,phone,+31 20 420 2530,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
barentszstraat-130,coordinate,"52.389062,4.887511",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
barentszstraat-130,key_photo,PicturesOriginal/IMG_0963.JPG,photos-2009,2009-10-15,1.0,Apple iPhone 3GS
barentszstraat-130,trading,true,photos-2009,2009-10-15,1.0,"photographed open; presence attested, not a claim about today"
barentszstraat-130,coordinate,"52.389,4.8875",photos-2009,2009-10-15,0.9,"own GPS, DOP 3.0, camera bearing 37.9 deg true"
barentszstraat-130,photo_heading,37.9,photos-2009,2009-10-15,1.0,the shopfront lies along this bearing from the fix
haarlemmerstraat-102,name,Barney's,placesdata-2011,2011-07-18,0.7,
haarlemmerstraat-102,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
haarlemmerstraat-102,phone,+31 20 625 9761,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
haarlemmerstraat-102,website,http://www.barneys-amsterdam.com,placesdata-2011,2011-07-18,0.4,
haarlemmerstraat-102,coordinate,"52.380625,4.890863",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
haarlemmerstraat-102,key_photo,PicturesOriginal/IMG_3025.JPG,photos-2009,2009-10-27,1.0,Apple iPhone 3GS
haarlemmerstraat-102,trading,true,photos-2009,2009-10-27,1.0,"photographed open; presence attested, not a claim about today"
haarlemmerstraat-102,coordinate,"52.3805,4.8911667",photos-2009,2009-10-27,0.9,"own GPS, DOP 5.0, camera bearing 335.9 deg true"
haarlemmerstraat-102,photo_heading,335.9,photos-2009,2009-10-27,1.0,the shopfront lies along this bearing from the fix
reguliersgracht-27,name,Barney's Lounge,placesdata-2011,2011-07-18,0.7,
reguliersgracht-27,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
reguliersgracht-27,phone,+31 20 420 6655,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
reguliersgracht-27,coordinate,"52.363964,4.896301",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
reguliersgracht-27,key_photo,PicturesOriginal/IMG_0848.JPG,photos-2009,2009-10-15,1.0,Apple iPhone 3GS
reguliersgracht-27,trading,true,photos-2009,2009-10-15,1.0,"photographed open; presence attested, not a claim about today"
reguliersgracht-27,coordinate,"52.3635,4.8961667",photos-2009,2009-10-15,0.9,"own GPS, DOP 3.0, camera bearing 119.9 deg true"
reguliersgracht-27,photo_heading,119.9,photos-2009,2009-10-15,1.0,the shopfront lies along this bearing from the fix
gravenstraat-9,name,Barraka,placesdata-2011,2011-07-18,0.7,
gravenstraat-9,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
gravenstraat-9,phone,+31 20 626 9766,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
gravenstraat-9,coordinate,"52.374156,4.892737",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
gravenstraat-9,key_photo,PicturesOriginal/IMG_1196.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS
gravenstraat-9,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today"
gravenstraat-9,coordinate,"52.3741667,4.8926667",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 207.9 deg true"
gravenstraat-9,photo_heading,207.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix
kloveniersburgwal-62,name,Basjoe,placesdata-2011,2011-07-18,0.7,
kloveniersburgwal-62,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
kloveniersburgwal-62,phone,+31 20 627 3858,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
kloveniersburgwal-62,coordinate,"52.369988,4.897404",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
kloveniersburgwal-62,key_photo,PicturesOriginal/IMG_5038.JPG,photos-2009,2009-11-08,1.0,Apple iPhone 3GS
kloveniersburgwal-62,trading,true,photos-2009,2009-11-08,1.0,"photographed open; presence attested, not a claim about today"
kloveniersburgwal-62,coordinate,"52.37,4.8978333",photos-2009,2009-11-08,0.6,"own GPS, camera bearing 32.9 deg true"
kloveniersburgwal-62,photo_heading,32.9,photos-2009,2009-11-08,1.0,the shopfront lies along this bearing from the fix
oudezijds-achterburgwal-61,name,Bassment,placesdata-2011,2011-07-18,0.7,
oudezijds-achterburgwal-61,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
oudezijds-achterburgwal-61,phone,+31 20 638 2951,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
oudezijds-achterburgwal-61,coordinate,"52.373233,4.89897",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
oudezijds-achterburgwal-61,key_photo,PicturesOriginal/IMG_1221.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS
oudezijds-achterburgwal-61,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today"
oudezijds-achterburgwal-61,coordinate,"52.3736667,4.899",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 181.9 deg true"
oudezijds-achterburgwal-61,photo_heading,181.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix
kolksteeg-10,name,Ben,placesdata-2011,2011-07-18,0.7,
kolksteeg-10,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
kolksteeg-10,phone,+31 20 623 7006,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
kolksteeg-10,coordinate,"52.376208,4.89527",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
kolksteeg-10,key_photo,PicturesOriginal/IMG_0044.JPG,photos-2009,2009-10-04,1.0,Apple iPhone 3GS
kolksteeg-10,trading,true,photos-2009,2009-10-04,1.0,"photographed open; presence attested, not a claim about today"
kolksteeg-10,coordinate,"52.376,4.896",photos-2009,2009-10-04,0.6,"own GPS, camera bearing 323.9 deg true"
kolksteeg-10,photo_heading,323.9,photos-2009,2009-10-04,1.0,the shopfront lies along this bearing from the fix
niasstraat-1,name,Best Friends,placesdata-2011,2011-07-18,0.7,
niasstraat-1,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
niasstraat-1,phone,+31 20 362 3654,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
niasstraat-1,coordinate,"52.365074,4.939606",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
niasstraat-1,key_photo,PicturesOriginal/IMG_0452.JPG,photos-2009,2009-10-13,1.0,Apple iPhone 3GS
niasstraat-1,trading,true,photos-2009,2009-10-13,1.0,"photographed open; presence attested, not a claim about today"
niasstraat-1,coordinate,"52.3651667,4.9396667",photos-2009,2009-10-13,0.9,"own GPS, DOP 1.0, camera bearing 273.9 deg true"
niasstraat-1,photo_heading,273.9,photos-2009,2009-10-13,1.0,the shopfront lies along this bearing from the fix
nieuwezijds-kolk-21,name,Betty Boop,placesdata-2011,2011-07-18,0.7,
nieuwezijds-kolk-21,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
nieuwezijds-kolk-21,phone,+31 20 622 5187,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
nieuwezijds-kolk-21,website,http://coffeeshopbettyboop.com,placesdata-2011,2011-07-18,0.4,
nieuwezijds-kolk-21,coordinate,"52.376334,4.894766",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
nieuwezijds-kolk-21,key_photo,PicturesOriginal/IMG_0300.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
nieuwezijds-kolk-21,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
nieuwezijds-kolk-21,coordinate,"52.3763333,4.8943333",photos-2009,2009-10-06,0.6,"own GPS, camera bearing 314.9 deg true"
nieuwezijds-kolk-21,photo_heading,314.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
reguliersdwarsstraat-29,name,Betty Too,placesdata-2011,2011-07-18,0.7,
reguliersdwarsstraat-29,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
reguliersdwarsstraat-29,phone,+31 20 627 0333,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
reguliersdwarsstraat-29,foursquare,57124,placesdata-2011,2011-07-18,0.5,
reguliersdwarsstraat-29,coordinate,"52.366562,4.890267",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
reguliersdwarsstraat-29,key_photo,PicturesOriginal/IMG_0165.JPG,photos-2009,2009-10-06,1.0,Apple iPhone 3GS
reguliersdwarsstraat-29,trading,true,photos-2009,2009-10-06,1.0,"photographed open; presence attested, not a claim about today"
reguliersdwarsstraat-29,coordinate,"52.3666667,4.8896667",photos-2009,2009-10-06,0.6,"own GPS, camera bearing 37.9 deg true"
reguliersdwarsstraat-29,photo_heading,37.9,photos-2009,2009-10-06,1.0,the shopfront lies along this bearing from the fix
hazenstraat-15,name,Biba,placesdata-2011,2011-07-18,0.7,
hazenstraat-15,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
hazenstraat-15,phone,+31 20 626 1134,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
hazenstraat-15,coordinate,"52.370791,4.880054",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
hazenstraat-15,key_photo,PicturesOriginal/IMG_1096.JPG,photos-2009,2009-10-16,1.0,Apple iPhone 3GS
hazenstraat-15,trading,true,photos-2009,2009-10-16,1.0,"photographed open; presence attested, not a claim about today"
hazenstraat-15,coordinate,"52.3706667,4.88",photos-2009,2009-10-16,0.9,"own GPS, DOP 3.0, camera bearing 349.9 deg true"
hazenstraat-15,photo_heading,349.9,photos-2009,2009-10-16,1.0,the shopfront lies along this bearing from the fix
bonairestraat-78,name,Bij,placesdata-2011,2011-07-18,0.7,
bonairestraat-78,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
bonairestraat-78,phone,+31 20 683 2735,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
bonairestraat-78,coordinate,"52.36208,4.855402",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
bonairestraat-78,key_photo,PicturesOriginal/IMG_0746.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS
bonairestraat-78,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today"
bonairestraat-78,coordinate,"52.3621667,4.8553333",photos-2009,2009-10-14,0.9,"own GPS, DOP 1.0, camera bearing 29.9 deg true"
bonairestraat-78,photo_heading,29.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix
overtoom-342,name,Blue Lagoon,placesdata-2011,2011-07-18,0.7,
overtoom-342,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
overtoom-342,phone,+31 20 612 6232,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
overtoom-342,coordinate,"52.36104,4.868005",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
overtoom-342,key_photo,PicturesOriginal/IMG_0766.JPG,photos-2009,2009-10-14,1.0,Apple iPhone 3GS
overtoom-342,trading,true,photos-2009,2009-10-14,1.0,"photographed open; presence attested, not a claim about today"
overtoom-342,coordinate,"52.3605,4.8663333",photos-2009,2009-10-14,0.9,"own GPS, DOP 3.0, camera bearing 24.9 deg true"
overtoom-342,photo_heading,24.9,photos-2009,2009-10-14,1.0,the shopfront lies along this bearing from the fix
van-woustraat-87,name,Blue Sea,placesdata-2011,2011-07-18,0.7,
van-woustraat-87,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
van-woustraat-87,phone,+31 20 676 1991,placesdata-2011,2011-07-18,0.5,"seventeen years stale, verify before use"
van-woustraat-87,coordinate,"52.354702,4.901535",placesdata-2011,2011-07-18,0.4,geocoded alongside a GooglePlacePage; never eligible for OSM
van-woustraat-87,key_photo,PicturesOriginal/IMG_0854.JPG,photos-2009,2009-10-15,1.0,Apple iPhone 3GS
van-woustraat-87,trading,true,photos-2009,2009-10-15,1.0,"photographed open; presence attested, not a claim about today"
van-woustraat-87,coordinate,"52.3545,4.9015",photos-2009,2009-10-15,0.9,"own GPS, DOP 3.0, camera bearing 349.9 deg true"
van-woustraat-87,photo_heading,349.9,photos-2009,2009-10-15,1.0,the shopfront lies along this bearing from the fix
sint-antoniesbreestraat-71,name,The Bluebird,placesdata-2011,2011-07-18,0.7,
sint-antoniesbreestraat-71,sort_name,Bluebird,placesdata-2011,2011-07-18,0.7,
sint-antoniesbreestraat-71,kind,coffeeshop,placesdata-2011,2011-07-18,0.8,
